Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Guatemala,Partly Free,4,4,56,27,0.650,0.467,28.2,-5,27.7,16.0,0.693,35.0,0.335,32.2,0.439,11.9,2.9,48.3,27.3,98,"35,94",-,-,-,-,-,-,129,106,113,130,99,78,3655,515,-,-,26.67,18.23,25,4.83,12.67,7,4.8,60.71,-11.94,12
Guinea,Partly Free,5,5,41,28,0.459,0.306,33.4,2,32.2,31.2,0.430,48.3,0.175,17.1,0.379,5.5,1.3,33.7,8.8,152,"33,49",-,-,-,-,-,-,167,166,172,159,160,161,2053,104,-,-,29.76,20.84,-,-,-,-,9.7,42.6,0.5,18
Guinea-Bissau,Partly Free,5,5,41,16,0.455,0.276,39.4,-5,39.4,38.4,0.358,41.9,0.228,37.9,0.257,12.6,3.3,50.7,9.5,175,"30,95",-,-,-,-,-,-,170,177,180,156,156,176,-,-,-,-,30.46,21.64,-,-,-,-,0.7,70.44,-18.23,-
Guyana,Free,2,3,74,37,0.654,0.532,18.6,5,18.4,19.5,0.579,10.7,0.532,25.1,0.488,,,,18.4,134,"26,63",-,-,-,-,-,-,98,126,116,109,104,128,3241,137,-,-,28.26,23.47,-,-,-,-,2.6,16.04,-1.76,14
Haiti,Partly Free,5,5,41,20,0.498,0.304,39.0,-7,38.4,28.6,0.479,38.3,0.267,48.4,0.219,8.6,2.0,41.1,,182,29,-,-,-,-,-,-,153,152,145,155,139,138,3645,419,-,-,29.43,22.6,-,-,-,-,18,38.4,-4.7,10
Honduras,Partly Free,4,4,46,29,0.617,0.459,25.6,-4,25.2,18.1,0.678,22.7,0.388,34.9,0.368,16.9,3.4,50.0,56.5,121,"48,53",-,-,-,-,-,-,92,119,129,100,48,131,3224,658,-,-,28.31,19.98,25,6.5,10.66,25,4.8,40.2,2.1,15
Hong Kong,Partly Free,5,2,59,76,0.933,0.809,13.3,-14,12.7,2.5,0.961,10.2,0.768,25.6,0.716,,,,0.4,4,"29,65",56.0,39.4,54.9,84.2,66.93,121.40,-,-,-,-,-,-,21943,6091,-,-,29.68,11.62,16.5,0,0,15,3.3,16,-6.1,-
Hungary,Free,3,2,72,46,0.838,0.772,7.8,8,7.7,4.7,0.822,3.2,0.789,15.2,0.710,4.9,1.1,30.4,2.1,53,"30,44",-,-,-,-,47.62,86.24,62,40,43,59,105,66,14814,2885,158,1.02,24.93,-9.82,9,18.5,21,15,3.4,31,-1.4,27
Iceland,Free,1,1,95,76,0.935,0.878,6.0,5,5.9,2.4,0.945,2.6,0.889,12.8,0.807,3.6,0.9,25.6,0.3,21,"14,71",-,-,-,-,65.66,119.72,19,24,16,14,27,15,17459,3379,227,5.88,11.89,-10.01,20,0,6.6,46.24,3.1,25.2,-0.06,24
India,Free,2,3,77,41,0.640,0.468,26.8,-1,26.3,21.4,0.590,38.7,0.341,18.8,0.509,5.3,1.5,35.1,3.2,77,"45,67",44.6,38.7,43.8,55.2,68.21,122.67,134,153,121,133,118,112,6492,784,342,1.06,31.33,14.39,30,12,12,35.88,3.18,12.17,1.54,18
Indian Kashmir,Partly Free,4,4,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indonesia,Partly Free,2,4,64,38,0.694,0.563,18.8,4,18.7,14.8,0.647,16.5,0.520,24.9,0.532,6.6,1.8,39.5,0.5,73,"36,77",53.1,47.3,49.5,67.4,61.90,110.00,103,156,106,154,90,92,7203,600,383,74.7,27.48,23.73,25,2,5.74,30,3.28,82.4,-1.17,10
Iran,Not Free,6,6,18,28,0.798,0.707,11.4,3,11.2,9.0,0.786,4.9,0.705,19.7,0.637,7.2,1.7,38.8,,128,"64,41",-,-,-,-,51.86,90.52,96,113,114,94,58,93,4704,462,81.4,0.15,31.65,-0.02,-,-,-,-,50.4,59.02,-3.27,8
Iraq,Not Free,5,6,31,18,0.685,0.546,20.4,3,20.2,17.3,0.637,27.2,0.389,16.1,0.656,4.4,1.1,29.5,,171,"52,6",-,-,-,-,41.32,70.17,126,130,124,117,75,103,4191,460,82.94,0.01,37.4,3.84,15,5,12,15,-0.8,76.55,-6.37,-
Ireland,Free,1,1,96,73,0.938,0.854,9.0,-7,8.6,2.8,0.922,2.9,0.891,20.1,0.759,5.1,1.2,31.9,0.8,23,15,66.8,79.0,45.9,76.6,51.44,93.38,27,13,25,25,32,19,16961,2269,273,5.71,18.09,0.27,12.5,4,10.95,48,1.1,23.15,-6.56,23
Israel,Free,1,3,79,61,0.903,0.787,12.8,-6,12.2,3.3,0.932,7.0,0.813,26.4,0.644,9.8,2.0,41.4,1.4,49,"30,8",-,-,-,-,72.97,133.45,23,7,24,19,40,28,14389,2458,183,0,30.46,7.17,23,12,7.6,50,0.8,486,-2.74,17
Italy,Free,1,1,89,52,0.880,0.771,12.3,-4,11.9,2.9,0.944,10.5,0.708,22.5,0.687,6.6,1.4,34.7,0.7,51,"24,98",52.8,67.7,20.1,74.5,66.56,120.67,6,14,11,11,3,2,9211,2454,190,10.25,26.12,-1.22,24,9.49,30,43,0.7,25.64,-0.6,22
Jamaica,Free,2,3,77,44,0.732,0.608,17.0,6,16.2,11.0,0.768,5.6,0.652,32.0,0.448,,,,47.0,75,"11,13",-,-,-,-,-,-,36,87,69,89,8,53,6790,1258,1162,1.71,28.82,22.07,25,6.75,12,30,4.2,26.49,1.6,16.5
Japan,Free,1,1,96,73,0.909,0.876,3.6,16,3.6,2.9,0.955,1.6,0.835,6.3,0.844,5.4,1.2,32.1,0.3,39,"29,36",48.2,54.1,32.4,60.7,80.48,147.00,1,3,1,13,9,10,20172,6542,389,34.53,26.64,-2.26,30.62,15.19,15.49,55.95,0.7,24.9,-2.5,8
Jordan,Partly Free,5,5,37,49,0.735,0.617,16.1,6,16.0,10.7,0.748,16.9,0.591,20.5,0.531,5.2,1.4,33.7,1.5,104,"43,11",-,-,-,-,65.44,118.34,101,83,84,98,100,83,5750,913,70.36,0,31.79,4.99,20,7.5,14.25,30,0.5,32.91,-8.28,16
Kazakhstan,Not Free,7,5,22,31,0.800,0.737,7.9,6,7.9,10.1,0.692,3.2,0.788,10.3,0.734,3.7,1.0,26.9,4.8,28,"52,82",-,-,-,-,50.20,88.41,122,52,62,112,135,64,10582,398,55.84,2.87,25.56,-23.6,20,0,3.5,10,5.4,2961,1.9,12
Kenya,Partly Free,4,4,48,27,0.590,0.434,26.4,-1,26.3,22.8,0.562,22.9,0.425,33.1,0.342,11.5,2.9,48.5,4.9,61,"32,44",-,-,-,-,54.98,96.95,162,135,142,152,178,140,14958,209,318,0.99,27.18,21.28,30,0,0,30,5.7,31.5,3.18,16
Kiribati,Free,1,1,93,-,0.612,,,,,24.5,0.540,21.4,0.488,,,6.7,1.6,37.0,,158,-,-,-,-,-,-,-,125,121,123,103,144,142,20923,44.88,876,1.96,28.72,24.15,-,-,-,-,-,-,-,-
Kosovo,Partly Free,3,4,52,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,44,"29,68",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,14.2,-4.4,16
Kuwait,Partly Free,5,5,36,41,0.803,,,,,6.3,0.790,17.8,0.510,,,,,,,97,"33,86",-,-,-,-,54.86,97.86,68,54,46,41,68,45,9026,1026,84.12,0,38.84,8.07,15,10.5,11.5,0,1.1,11.7,-1.15,-
Kyrgyzstan,Partly Free,5,5,37,29,0.672,0.606,9.8,22,9.8,12.1,0.691,5.0,0.698,12.2,0.462,3.7,1.0,26.8,4.5,70,"29,92",-,-,-,-,-,-,123,122,135,146,134,151,3814,713,120,0.84,19.28,-19.16,10,-,-,-,0.9,32.45,-0.7,12
Laos,Not Free,7,6,12,29,0.601,0.445,26.1,-2,25.8,23.1,0.556,34.1,0.320,20.3,0.494,5.9,1.6,36.4,7.0,154,"64,49",-,-,-,-,-,-,147,147,154,157,155,165,4031,256,524,1.61,28.59,16.2,-,-,-,-,2.54,167,-2.26,10
Latvia,Free,2,2,87,58,0.847,0.759,10.4,2,10.1,5.9,0.792,3.7,0.834,20.7,0.661,5.9,1.4,34.2,3.4,19,"19,53",-,-,-,-,63.73,114.74,82,56,67,77,121,105,18326,3102,150,4.99,22.28,-15.78,20,11,24.09,31.4,3,17.7,-4.3,21
Lebanon,Partly Free,6,4,43,28,0.757,,,,,6.7,0.858,6.2,0.598,,,5.1,1.2,31.8,4.0,142,"32,44",-,-,-,-,64.66,119.83,95,88,93,46,97,91,2271,308,336,0,29.44,4.55,17,3,22.5,20,1.69,11.1,-4.67,11
Lesotho,Partly Free,3,3,64,41,0.520,0.359,31.0,-1,30.5,28.5,0.380,21.9,0.392,41.1,0.310,20.8,4.3,54.2,41.2,106,"29,74",-,-,-,-,-,-,171,164,173,123,186,183,9368,127,-,-,21.52,4.49,-,-,-,-,5.6,35.14,2,-
Liberia,Partly Free,3,3,62,32,0.435,0.298,31.6,4,31.0,27.5,0.480,42.9,0.248,22.7,0.221,5.4,1.3,33.2,,174,"31,49",-,-,-,-,-,-,181,191,187,181,176,186,4375,212,-,-,28.45,22.36,-,-,-,-,23.3,28.5,-5.69,-
Libya,Not Free,7,6,9,17,0.706,,,,,14.1,0.689,,,,,,,,2.5,186,"55,77",-,-,-,-,-,-,107,102,97,84,94,87,-,-,-,-,33.15,9.31,20,-,-,-,-1.6,32.8,-4.8,-
Liechtenstein,Free,2,1,90,-,0.916,,,,,,,,,,,,,,-,-,"20,49",-,-,-,-,-,-,-,-,-,-,-,-,12459,3223,-,-,18.44,-12.01,12.5,-,-,-,0.6,6.53,-1.4,7.7
Lithuania,Free,1,1,91,59,0.858,0.757,11.7,-1,11.3,5.4,0.797,4.5,0.840,23.9,0.649,7.2,1.6,37.4,5.2,14,"22,06",-,-,-,-,68.79,124.40,63,48,52,71,93,73,15105,1614,-,-,21.79,-15.18,15,19.5,1.77,20,2.5,707,-2,21
Luxembourg,Free,1,1,98,81,0.904,0.811,10.3,0,10.1,3.4,0.921,9.4,0.718,17.7,0.805,5.0,1.2,31.2,,66,"15,66",-,-,-,-,-,-,18,22,5,5,31,16,11591,2533,-,-,23.14,-7.17,26.01,12.45,15.15,45.78,1.8,4.99,-1.35,17
Macedonia,Partly Free,4,3,58,37,0.757,0.661,12.6,3,12.4,6.5,0.803,10.5,0.618,20.3,0.582,7.3,1.4,35.6,,-,"31,66",-,-,-,-,57.33,102.21,64,85,89,106,69,89,7775,1236,-,-,24.69,-6.2,10,-,-,10,0.3,9.9,-2.1,18
Madagascar,Partly Free,3,4,56,25,0.519,0.385,25.9,5,25.6,21.3,0.561,35.0,0.324,20.4,0.313,8.7,2.1,42.6,7.7,161,"27,76",-,-,-,-,-,-,172,168,167,190,173,159,3788,145,-,-,26.67,18.19,20,-,-,-,5.8,30.4,-8.5,20
Malawi,Partly Free,3,3,63,32,0.477,0.332,30.4,5,30.4,30.3,0.468,28.4,0.323,32.4,0.242,9.4,2.5,45.5,,111,"29,36",-,-,-,-,-,-,189,187,182,161,187,185,1910,86.23,369,0,26.17,15.83,30,0,0,30,9,37.9,6.3,16.5
Malaysia,Partly Free,4,4,45,47,0.802,,,,,5.9,0.803,15.6,0.607,,,11.2,2.6,46.3,,15,"36,74",58.5,45.2,60.5,77.1,67.80,121.96,89,49,55,93,86,49,8945,827,543,63.62,28.26,23.53,24,11,12,28,1.5,23.9,-2.4,10
Maldives,Partly Free,5,5,35,31,0.717,0.549,23.4,-9,22.0,5.7,0.836,40.0,0.336,20.5,0.590,7.0,1.7,38.4,,139,"32,16",-,-,-,-,-,-,130,134,128,76,147,147,4159,322,480,51.79,29.38,26.24,-,-,-,-,2.2,21.16,-3.44,-
Mali,Partly Free,5,4,44,32,0.427,0.282,34.0,1,32.8,36.8,0.374,46.2,0.158,15.4,0.380,5.2,1.3,33.0,10.9,145,"35,23",-,-,-,-,-,-,183,180,178,179,170,163,1030,235,174,0,35.37,19.06,-,-,-,-,-1.4,12.8,-10.16,18
Malta,Free,1,1,92,54,0.878,0.805,8.3,5,8.2,4.0,0.901,6.9,0.762,13.7,0.761,4.4,1.1,29.0,0.9,84,"29,74",-,-,-,-,-,-,21,38,31,37,2,5,12927,1974,281,0,29.08,8.4,35,10,10,35,1.8,5.74,-1.08,18
Marshall Islands,Free,1,1,92,-,0.708,,,,,,,,,,,,,,-,150,-,-,-,-,-,-,-,121,120,119,80,140,141,2283,77.08,689,25.93,29.08,26.57,-,-,-,-,-,-,-,-
Mauritania,Not Free,6,5,30,27,0.520,0.348,33.0,-3,32.7,32.6,0.450,40.8,0.230,24.6,0.408,5.4,1.3,32.6,9.9,148,"31,65",-,-,-,-,-,-,158,163,169,141,151,162,1949,308,72.53,0.02,35.16,17.27,-,5,5,40,1.8,15.3,-0.6,16
Mauritius,Free,1,2,89,51,0.790,0.683,13.5,1,13.4,8.9,0.769,13.2,0.633,18.2,0.656,5.9,1.5,35.8,1.8,20,"28,46",-,-,-,-,-,-,78,77,90,69,113,84,6433,200,825,11.67,27.74,19.24,15,3,6,15,0.6,18.1,-1.4,15
Mayotte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3630,59.09,879,0.37,29.06,23.52,-,-,-,-,-,-,-,-
Mexico,Partly Free,3,3,62,28,0.774,0.609,21.3,-13,20.8,12.3,0.773,17.1,0.562,32.8,0.521,8.8,2.3,43.4,19.3,54,"46,78",45.3,37.3,57.1,41.6,69.40,124.30,55,65,51,55,63,61,7538,949,234,3.72,26.93,12.06,30,2.78,51.15,35,3.95,180,2.13,16
Micronesia,Free,1,1,93,-,0.627,,,,,19.0,0.615,,,26.4,0.406,8.4,1.8,40.1,4.7,160,-,-,-,-,-,-,-,104,112,111,81,110,123,-,-,705,68.25,28.34,25.82,-,-,-,-,-,-,-,5
Moldova,Partly Free,3,3,61,33,0.700,0.627,10.4,18,10.3,9.6,0.719,7.3,0.658,14.0,0.522,3.7,0.9,26.3,,47,"31,21",-,-,-,-,-,-,88,64,91,108,106,101,-,-,176,0.73,25.23,-12.78,12,10.5,22.5,12,4.4,16.9,-2.3,20
Monaco,Free,3,1,82,-,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,9,30,18,12,12,13,18895,2014,367,0.26,23.04,-5.36,33,8.95,27.27,-,-,-,-,20
Mongolia,Free,1,2,85,37,0.741,0.639,13.7,10,13.7,13.4,0.659,11.9,0.675,15.7,0.588,5.1,1.3,32.3,5.7,74,"29,51",-,-,-,-,-,-,131,148,136,145,138,145,8571,239,114,0.34,20.72,-27.44,25,11.5,14.5,10,8.1,34.2,-0.2,10
Montenegro,Partly Free,3,3,67,45,0.814,0.741,8.9,3,8.8,4.4,0.842,7.4,0.732,14.6,0.661,4.8,1.2,31.9,4.5,50,"32,74",-,-,-,-,-,-,-,-,-,-,-,-,6689,1490,309,1.07,24.23,-6.52,9,24,10.3,9,-0.1,26.5,-1.4,21
Morocco,Partly Free,5,5,39,43,0.667,,,,,14.0,0.742,,,,,7.4,2.0,40.7,1.2,60,"43,98",-,-,-,-,39.35,65.92,110,111,94,99,17,29,5191,1138,126,0,28.91,7.12,31,6.74,21.09,38,0.2,5.2,-1.6,20
Mozambique,Partly Free,4,4,52,23,0.437,0.294,32.7,2,32.6,35.6,0.385,33.8,0.255,28.4,0.259,14.2,3.9,54.0,,135,"32,66",-,-,-,-,-,-,180,190,185,160,168,184,2690,236,344,0.78,27.95,18.06,32,3,4,32,2.3,26.35,1.05,17
Myanmar,Partly Free,5,5,31,29,0.578,0.466,19.4,11,18.9,24.0,0.547,26.9,0.324,5.8,0.572,6.3,1.7,38.1,2.3,171,"44,92",-,-,-,-,-,-,139,162,175,136,129,190,4358,528,749,0.4,27.37,16.4,25,2,3,25,9.57,54.02,-1.09,5
Nagorno-Karabakh,Partly Free,5,5,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Namibia,Free,2,2,77,53,0.647,0.422,34.8,-13,32.9,20.2,0.551,25.0,0.428,53.6,0.318,20.1,5.8,61.0,,107,"18,95",-,-,-,-,-,-,177,173,165,66,189,168,3039,302,190,0.01,26.65,13.02,32,0.9,0.9,37,3.9,20.54,0.94,15
Nauru,Free,2,2,81,-,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,136,51,75,42,166,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,Partly Free,3,4,55,31,0.574,0.427,25.6,5,24.6,16.6,0.649,40.9,0.296,16.3,0.405,5.0,1.3,32.8,2.2,110,"33,4",-,-,-,-,56.27,98.34,142,161,160,170,98,150,3774,433,-,-,23.44,2.68,-,-,-,-,5.3,30.42,-11.54,15
Netherlands,Free,1,1,99,82,0.931,0.857,7.9,0,7.8,3.0,0.925,5.3,0.858,15.0,0.792,4.4,1.1,29.3,0.6,36,"8,63",80.3,75.9,79.2,88.8,75.63,137.84,13,15,8,9,19,17,17915,4165,-,-,21.96,-5.42,25,27.65,19.8,51.75,2.7,11.19,-1.3,21
New Zealand,Free,1,1,98,87,0.917,0.846,7.7,3,7.5,4.3,0.913,1.7,0.901,16.4,0.736,,,,,1,"10,75",68.5,65.4,63.4,80.6,73.71,133.68,31,16,26,20,80,41,14709,1999,-,-,17.7,3.34,28,0,-,33,1.7,44,-15.3,15
Nicaragua,Partly Free,5,4,44,25,0.658,0.507,22.9,0,22.6,12.9,0.746,25.7,0.415,29.2,0.421,10.2,2.6,46.2,7.4,132,"35,53",-,-,-,-,-,-,117,96,101,104,74,71,3118,397,-,-,29.25,22.22,30,7,22.5,30,5.63,23.99,-0.12,15
Niger,Partly Free,4,4,49,34,0.354,0.250,29.3,3,28.8,34.9,0.405,35.0,0.139,16.4,0.278,5.4,1.4,34.3,,143,"29,26",-,-,-,-,-,-,190,184,188,185,177,170,1079,124,-,-,35,16.25,-,-,-,-,-3.7,15.4,-4.2,19
Nigeria,Partly Free,3,5,50,27,0.532,0.347,34.7,-6,34.6,37.4,0.326,38.1,0.299,28.2,0.429,9.1,2.2,43.0,9.8,146,"36,5",-,-,-,-,53.49,93.48,163,188,184,176,175,187,4129,349,-,-,31.83,22.3,30,8,10,24,11.22,47.56,-2.49,5
North Korea,Not Free,7,7,3,14,,,,,,11.6,0.706,,,,,,,,4.4,-,"83,4",-,-,-,-,-,-,137,145,149,172,153,167,14704,800,460,1.2,23.95,-14.39,-,-,-,-,55,4376,30,15
Northern Cyprus,Free,2,2,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,67",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,Free,1,1,100,84,0.953,0.876,8.0,-1,7.9,2.7,0.933,6.1,0.859,14.9,0.839,4.1,1.0,27.5,0.5,7,"7,82",71.5,71.5,58.1,90.2,74.36,135.72,15,4,3,16,18,11,23633,4055,201,18.92,15.31,-15.51,22,8.2,14.1,38.2,1.9,18.9,-1.8,25
Oman,Not Free,6,5,23,52,0.821,,,,,7.1,0.818,,,,,,,,,78,"43,42",-,-,-,-,-,-,72,59,59,62,1,8,4927,546,82.67,0.03,35.1,17.56,15,7,11.5,0,0,14.5,-0.55,0
Pakistan,Partly Free,4,5,43,33,0.562,0.387,31.0,-1,29.6,31.0,0.495,46.2,0.221,11.6,0.531,4.4,1.2,30.7,4.4,136,"45,83",-,-,-,-,60.51,107.11,124,183,133,142,85,122,2508,391,171,0.15,31.23,5.95,30,-,-,20,8.89,37.81,-10.32,17
Pakistani Kashmir,Not Free,6,5,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Palau,Free,1,1,92,-,0.798,,,,,,,1.9,0.828,,,,,,,133,-,-,-,-,-,-,-,112,66,63,47,125,82,6551,96.94,757,14.33,29.05,25.05,-,-,-,-,-,-,-,-
Panama,Free,2,2,83,37,0.789,0.623,21.1,-14,20.2,11.5,0.792,12.5,0.605,36.5,0.504,16.6,3.4,50.4,9.7,79,"29,78",-,-,-,-,59.86,106.04,47,93,70,53,67,95,5900,611,885,12.51,29.05,24.08,25,9.75,12.25,25,-0.5,10.04,-0.5,7
Papua New Guinea,Partly Free,3,3,63,28,0.544,,,,,25.3,0.525,11.5,0.381,,,9.3,2.1,41.9,,108,"24,7",-,-,-,-,-,-,145,157,150,137,146,148,8431,276,508,62.2,25.93,21.78,30,-,-,42,4.5,23.16,-1.61,10
Paraguay,Partly Free,3,3,64,29,0.702,0.522,25.5,-11,24.8,18.0,0.671,16.7,0.525,39.5,0.404,11.8,2.9,47.9,9.3,113,"32,4",-,-,-,-,-,-,71,57,73,91,52,57,2164,181,248,2.68,29.5,14.01,10,-,-,-,2.8,13.4,0.9,10
Peru,Free,2,3,73,35,0.750,0.606,19.2,-2,18.9,13.2,0.737,15.3,0.583,28.3,0.517,10.6,2.3,43.8,7.7,68,"30,22",62.4,68.0,54.2,65.1,56.26,99.05,105,103,115,78,119,129,6232,750,345,15.28,22.72,17.32,29.5,13,9,30,2.29,12377,-1.11,18
Philippines,Partly Free,3,3,62,36,0.699,0.574,17.9,5,17.6,14.4,0.648,11.6,0.584,26.8,0.500,7.2,1.9,40.1,11.0,124,"43,91",-,-,-,-,66.45,118.60,113,50,54,124,126,60,5451,796,510,18.23,29.16,22.98,30,3.63,7.37,35,2.7,62.8,-2.1,12
Poland,Free,1,2,85,60,0.865,0.787,9.0,5,8.8,4.7,0.847,4.7,0.825,17.1,0.697,5.0,1.2,31.8,0.7,33,"28,89",54.3,53.8,46.2,66.4,62.52,112.28,45,5,34,58,89,50,12755,1605,159,3.42,22.51,-13.11,19,13.71,21,32,2.6,46.5,-1.6,23
Portugal,Free,1,1,97,64,0.847,0.732,13.6,-7,13.2,2.9,0.918,16.3,0.635,20.5,0.674,6.4,1.5,35.5,0.6,34,"12,63",-,-,-,-,71.64,130.21,29,34,32,28,13,12,13145,2347,345,0.33,25.79,4.25,21,11,23.75,48,0.4,53.9,-1.6,23
Reunion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,Not Free,6,5,24,62,0.856,,,,,5.9,0.844,11.4,0.619,,,,,,,83,"42,51",-,-,-,-,73.17,132.78,66,55,47,27,53,44,13710,808,84.9,0,37.6,13.89,10,0,0,0,-0.4,16.59,-9.96,-
Romania,Free,2,2,84,47,0.811,0.717,11.7,1,11.4,6.8,0.797,6.3,0.714,21.0,0.647,4.3,1.0,28.3,1.2,52,"25,67",-,-,-,-,54.99,96.69,80,78,72,107,111,99,16991,3458,-,-,24.02,-10.92,16,35,2.25,10,3.8,317,-3.5,19
Russia,Not Free,7,6,20,28,0.816,0.738,9.5,1,9.3,8.0,0.725,2.2,0.814,17.7,0.683,6.6,1.7,37.7,10.8,31,"50,31",-,-,-,-,57.64,101.70,91,69,100,75,127,130,12288,1910,74.67,10.3,16.89,-30.58,20,0,30,13,4.7,2333,2.2,20
Rwanda,Not Free,6,6,23,56,0.524,0.367,30.0,0,29.8,23.8,0.557,29.3,0.318,36.4,0.278,11.0,3.2,50.4,2.5,29,"52,43",-,-,-,-,-,-,185,185,171,177,181,172,11299,103,-,-,21.66,16.88,30,-,-,-,0.9,28.1,-15.8,18
Samoa,Free,2,2,80,-,0.713,,,,,11.4,0.753,4.9,0.658,,,7.7,2.1,42.0,,90,"18,25",-,-,-,-,-,-,97,81,82,121,131,119,2333,237,-,-,28.22,24.42,27,5,5,27,-,-,-,-
Saint Helena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
San Marino,Free,1,1,97,-,,,,,,,,,,,,,,,,88,-,-,-,-,-,-,-,11,9,21,21,5,3,7079,2117,-,-,27.27,-0.27,-,-,-,-,-,-,-,-
Saudi Arabia,Not Free,7,7,7,49,0.853,,,,,8.9,0.767,16.2,0.660,,,,,,,92,"65,88",58.9,61.6,53.3,62.6,60.04,107.06,58,70,61,63,10,26,6706,1242,-,-,36.5,12.76,20,-,-,0,-1.4,11.1,-2.2,5
Senegal,Free,2,2,75,45,0.505,0.340,32.6,-1,31.7,21.1,0.576,46.5,0.197,27.7,0.347,7.7,1.9,40.3,7.4,141,"25,81",-,-,-,-,-,-,151,105,118,143,132,59,2017,473,-,-,32.87,21.54,30,11,11,40,2.1,7.2,-4.7,18
Serbia,Free,3,2,73,39,0.787,0.667,15.2,-3,14.6,7.1,0.791,8.1,0.714,28.7,0.525,4.2,1.0,28.5,1.4,48,"31,18",-,-,-,-,52.01,93.82,-,-,-,-,-,-,11086,804,-,-,24.45,-8.43,15,19.9,17.15,10,1.5,14.9,0.1,20
Seychelles,Partly Free,3,3,71,66,0.797,,,,,7.7,0.763,,,29.3,0.594,9.8,2.6,46.8,12.7,96,"29,41",-,-,-,-,-,-,108,73,83,52,83,56,3323,116,-,-,29.58,22.61,-,-,-,-,1.87,63.25,-5.54,15
Sierra Leone,Partly Free,3,3,66,30,0.419,0.266,36.5,-1,35.4,39.8,0.298,47.3,0.206,19.2,0.307,5.4,1.4,34.0,1.7,163,"30,36",-,-,-,-,-,-,191,186,191,183,183,191,3361,211,-,-,29.55,21.95,30,5,10,15,17.46,256,-39.84,15
Singapore,Partly Free,4,4,52,85,0.932,0.816,12.5,-10,11.9,2.6,0.947,8.2,0.764,25.0,0.750,,,,0.3,2,"51,41",70.4,64.4,69.5,81.2,71.07,131.96,30,29,27,38,14,6,20346,2170,720,3.07,28.88,24.03,17,20,17,22,0.6,34,-3.1,7
Slovakia,Free,1,1,89,50,0.855,0.797,6.8,10,6.7,5.2,0.831,1.4,0.819,13.4,0.744,4.1,0.9,26.5,1.0,42,"23,58",-,-,-,-,60.46,109.49,42,39,39,45,88,62,13802,4018,193,0.99,22.16,-11.67,21,13.4,35.2,25,2.6,9.8,-0.9,20
Slovenia,Free,1,1,93,60,0.896,0.846,5.6,11,5.5,3.0,0.912,2.2,0.866,11.4,0.766,3.7,0.9,25.4,0.5,40,"22,31",-,-,-,-,63.75,117.37,34,23,29,29,62,38,14584,2560,348,1.16,24.03,-7.15,19,22.1,16.1,50,1.79,22.6,-0.9,22
Solomon Islands,Free,3,2,72,44,0.546,,,,,15.9,0.660,,,,,6.4,1.6,37.1,,115,-,-,-,-,-,-,-,127,117,108,134,20,80,1597,80.14,812,44,28.28,24.19,30,-,-,-,-,-,-,10
