Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Benin,Free,2,2,82,40,0.515,0.326,36.6,-6,36.3,35.0,0.412,43.7,0.265,30.3,0.319,16.3,2.9,47.8,6.2,153,"31,74",-,-,-,-,-,-,157,132,143,171,136,97,1642,165,-,-,31.72,22.77,30,-,-,-,-0.2,15.2,-3.8,18
Bhutan,Partly Free,3,4,55,68,0.612,0.446,27.2,-5,26.4,17.8,0.639,41.7,0.259,19.6,0.533,6.9,1.8,38.8,1.1,81,"29,81",-,-,-,-,-,-,138,158,144,135,73,124,3426,99.26,-,-,19.31,0.98,-,-,-,-,3.9,13.53,0,50
Bolivia,Partly Free,3,3,67,29,0.693,0.514,25.8,-4,25.7,25.2,0.569,20.0,0.549,31.8,0.434,12.6,2.4,44.6,6.3,156,"35,38",-,-,-,-,-,-,133,118,117,101,142,126,2689,259,-,-,24.51,15.88,25,-,-,-,1.73,23464,-1.27,13
Bosnia and Herzegovina,Partly Free,4,4,55,38,0.768,0.649,15.5,-2,15.3,5.9,0.826,19.8,0.576,20.2,0.574,5.3,1.3,32.7,1.3,89,"29,02",-,-,-,-,52.35,93.58,56,79,79,105,70,90,8562,1068,-,-,24.04,-6.53,10,31,10.5,10,0.3,9.9,-1.9,17
Botswana,Free,3,2,72,61,0.717,,,,,18.6,0.596,,,,,23.2,5.8,60.5,,86,"25,09",-,-,-,-,-,-,187,146,168,85,188,169,2553,299,-,-,28.86,12.57,22,0,0,25,2.8,15.06,2.5,12
Brazil,Free,2,2,78,35,0.759,0.578,23.9,-17,23.2,10.8,0.765,22.0,0.535,36.7,0.471,15.6,3.5,51.3,29.5,109,"32,79",56.5,72.5,28.5,70.1,55.59,98.85,111,108,125,54,78,125,6819,698,-,-,27.15,21.8,34,11,29,27.5,3.37,6821,1.65,17
Brunei,Not Free,6,5,28,63,0.853,,,,,5.5,0.834,,,,,,,,,55,"51,48",-,-,-,-,-,-,59,42,37,32,76,40,-,-,-,-,-,-,18.5,8.5,8.5,0,-0.6,3.59,-1.6,-
Bulgaria,Free,2,2,80,42,0.813,0.710,12.7,-1,12.3,6.7,0.788,6.5,0.753,23.6,0.604,7.3,1.6,37.4,1.1,59,"35,11",-,-,-,-,55.07,97.41,60,53,74,96,92,102,15815,2020,153,1.59,25.06,-6.9,10,13.78,19.02,10,2.8,2020,-2.6,20
Burkina Faso,Partly Free,4,3,60,41,0.423,0.288,32.1,3,31.8,32.0,0.427,39.2,0.174,24.2,0.321,5.3,1.5,35.3,0.4,151,"24,53",-,-,-,-,-,-,178,137,159,173,162,132,1133,221,311,0,33.67,22.92,28,-,-,-,-2.4,15.1,-3.6,18
Burundi,Not Free,7,6,18,17,0.417,0.278,33.3,3,32.8,38.1,0.361,39.5,0.256,20.9,0.233,6.7,1.7,38.6,6.0,168,"52,89",-,-,-,-,-,-,179,154,161,186,171,143,3556,82.78,327,0.02,22.86,17.62,30,-,-,-,-4,44.93,-8.4,18
Cambodia,Not Free,6,5,30,20,0.582,0.469,19.4,14,19.2,16.0,0.638,27.3,0.354,14.3,0.457,,,,,138,"45,9",-,-,-,-,-,-,148,150,166,140,157,174,5430,232,786,0.44,30.43,21.9,20,3.4,3.4,20,2,35.57,-5.69,10
Cameroon,Not Free,6,6,22,25,0.556,0.366,34.2,-4,34.2,33.7,0.393,33.0,0.367,35.9,0.339,11.5,2.7,46.6,,166,"43,32",-,-,-,-,-,-,156,160,163,131,172,164,2292,161,359,0.12,27.72,21.72,33,-,-,-,2.2,5,0.3,19.25
Canada,Free,1,1,99,81,0.926,0.852,8.0,0,7.7,4.3,0.921,1.4,0.887,17.4,0.758,6.2,1.3,34.0,1.7,22,"15,69",68.0,72.1,56.0,78.2,71.27,130.87,12,18,7,10,35,30,16206,3294,71.16,14.32,14.8,-28.74,26.5,6.72,7.37,33,2,21.6,-17.8,5
Cape Verde,Free,1,1,90,57,0.654,,,,,13.3,0.707,23.7,0.423,,,10.7,2.7,47.2,11.5,131,"19,81",-,-,-,-,-,-,118,123,126,150,55,113,5450,209,412,0.39,28.42,20.01,-,-,-,-,1.5,10.2,-4.4,15
Central African Republic,Not Free,7,7,9,26,0.367,0.212,42.1,-1,41.8,41.7,0.295,34.5,0.223,49.2,0.145,18.5,4.5,56.2,19.8,183,"47,27",-,-,-,-,-,-,175,189,190,178,164,189,1445,73.03,310,0.22,29.87,19.97,-,-,-,-,3,51.73,-10.67,19
Chad,Not Free,7,6,18,19,0.404,0.249,38.3,-1,37.9,42.4,0.294,43.0,0.170,28.4,0.310,10.0,2.2,43.3,9.0,181,"36,71",-,-,-,-,-,-,161,175,177,175,161,178,1800,135,204,0.1,33.42,17.47,-,-,-,-,-3.3,41.72,-13.06,18
Chile,Free,1,1,94,67,0.843,0.710,15.7,-7,14.9,6.1,0.863,7.5,0.741,31.1,0.561,11.2,2.8,47.7,3.5,56,"25,65",69.3,59.2,73.3,79.7,65.22,118.35,32,1,33,44,23,33,9259,1098,170,11.95,15.49,3.21,27,18.5,5,35,2.3,746,-3.4,19
China,Not Free,7,6,14,39,0.752,0.643,14.5,5,14.2,7.9,0.799,11.5,0.571,23.3,0.582,9.2,2.1,42.2,0.6,46,"78,92",46.2,53.4,38.0,46.0,64.18,114.95,81,101,132,139,61,144,7583,636,141,1.54,21.04,-11.73,25,10.5,32,45,2.7,28.4,-2.2,13
Colombia,Partly Free,3,3,65,36,0.747,0.571,23.6,-12,22.9,13.2,0.729,19.4,0.545,36.2,0.468,14.3,3.4,50.8,25.5,65,"42,82",62.6,68.4,50.1,70.9,67.63,121.35,74,44,41,49,51,22,5523,573,564,38.69,27.21,22.92,33,10,21,39,3.43,41.65,-0.87,19
Comoros,Partly Free,3,4,55,27,0.503,0.275,45.3,-18,44.2,28.9,0.480,47.6,0.248,56.0,0.175,11.2,2.5,45.3,7.7,164,"27,91",-,-,-,-,-,-,146,143,137,165,141,118,1148,73.94,649,1.78,28.65,22.51,-,-,-,-,1.7,11.7,-3.4,10
