Country,avg Max Temp., avg Min Temp.
Turkey ,26.27 , -4.52
Turkmenistan ,32.14 , -8.44
Uganda ,26.5 , 21.03
Ukraine ,24.3 , -14.72
United Arab Emirates ,37.75 , 15.74
United Kingdom ,17.29 , -1.47
United States ,23.01 , -7.58
Uruguay ,25.83 , 8.2
Uzbekistan ,30.38 , -12.32
Vanuatu ,26.33 , 20.48
Venezuela ,27.81 , 22.78
Vietnam ,28.56 , 16.56
Virgin Islands ,29.33 , 22.95
Yemen ,32.74 , 18.47
Zambia ,26.28 , 15.52
Zimbabwe ,26.6 , 14.08
